Advait Residency | city=Ahmedabad | hood=New Vatva | BHK:[2] | type:['APARTMENT'] | pool=None | club=None | park=True | status=UNKNOWN | amenities=1 | rooms_types=['BALCONY', 'BEDROOM', 'DRAWING_ROOM', 'KITCHEN', 'POOJA_ROOM', 'STORE_ROOM', 'TOILET', 'WASH_AREA']
Aman Residency | city=Ahmedabad | hood=Vishala Circle | BHK:[2, 3] | type:['APARTMENT'] | pool=None | club=None | park=True | status=UNKNOWN | amenities=17 | rooms_types=['BALCONY', 'BATHROOM', 'BEDROOM', 'DINING', 'DRAWING_ROOM', 'KITCHEN', 'TOILET', 'WASH_AREA']
AMBER 2 BHK RESIDENCY | city=Ahmedabad | hood=Sarkhej | BHK:[2] | type:['APARTMENT'] | pool=None | club=None | park=True | status=UNKNOWN | amenities=0 | rooms_types=['BALCONY', 'BEDROOM', 'DINING', 'DRAWING_ROOM', 'KITCHEN', 'PASSAGE', 'TOILET', 'WASH_AREA', 'WC']
Copper CLASSIC | city=Rajkot | hood=Race Course | BHK:[4] | type:['APARTMENT'] | pool=None | club=True | park=True | status=UNKNOWN | amenities=32 | rooms_types=['BALCONY', 'BEDROOM', 'DINING', 'DRAWING_ROOM', 'KITCHEN', 'LOBBY', 'POOJA_ROOM', 'TOILET', 'WASH_AREA']
Devnandan Sankalp City | city=Ahmedabad | hood=Naroda, Hanspura Road | BHK:[1, 2] | type:['APARTMENT'] | pool=None | club=None | park=None | status=UNKNOWN | amenities=6 | rooms_types=['BATHROOM', 'BEDROOM', 'DRAWING_ROOM', 'KITCHEN', 'LOBBY', 'PASSAGE', 'TOILET']
Dwarkesh Greens | city=Ahmedabad | hood=Thaltej | BHK:[3] | type:['APARTMENT'] | pool=None | club=None | park=True | status=UNKNOWN | amenities=20 | rooms_types=['BALCONY', 'BEDROOM', 'DRAWING_ROOM', 'KITCHEN', 'LOBBY', 'STORE_ROOM', 'TOILET', 'WASH_AREA']
Gandhi Galaxy | city=Ahmedabad | hood=Paldi | BHK:[3] | type:['APARTMENT'] | pool=None | club=None | park=False | status=UNKNOWN | amenities=11 | rooms_types=['BALCONY', 'BATHROOM', 'BEDROOM', 'DINING', 'DRAWING_ROOM', 'DRESSING_ROOM', 'FOYER', 'KITCHEN', 'OTHER', 'STORE_ROOM', 'TOILET', 'WASH_AREA']
ICON green | city=Vadodara | hood=Danteshwar | BHK:[2, 3] | type:['APARTMENT'] | pool=None | club=True | park=True | status=READY_TO_MOVE | amenities=16 | rooms_types=['BALCONY', 'BEDROOM', 'DINING', 'DRAWING_ROOM', 'KITCHEN', 'LOBBY', 'STORE_ROOM', 'TOILET', 'UTILITY_ROOM']
KP Villas | city=Ahmedabad | hood=Gokuldham | BHK:[4, 5] | type:['VILLA'] | pool=None | club=True | park=True | status=UNKNOWN | amenities=12 | rooms_types=['BALCONY', 'BATHROOM', 'BEDROOM', 'COURTYARD', 'DINING', 'DRAWING_ROOM', 'DRESSING_ROOM', 'FOYER', 'KITCHEN', 'LOBBY', 'OTHER', 'POOJA_ROOM', 'STUDY_ROOM', 'TERRACE', 'TOILET', 'WASH_AREA']
Mukhi Residency | city=Ahmedabad | hood=Ramol Village | BHK:[1, 2] | type:['APARTMENT'] | pool=True | club=True | park=True | status=UNKNOWN | amenities=8 | rooms_types=['BALCONY', 'BATHROOM', 'BEDROOM', 'DRAWING_ROOM', 'KITCHEN', 'LOBBY', 'TOILET', 'WASH_AREA']
NEELKANTH STATUS | city=Ahmedabad | hood=Kubernagar | BHK:[3] | type:['APARTMENT'] | pool=None | club=None | park=True | status=UNKNOWN | amenities=25 | rooms_types=['BALCONY', 'BEDROOM', 'DRAWING_ROOM', 'KITCHEN', 'STORE_ROOM', 'TOILET', 'WASH_AREA']
NIVAAN GREENS | city=Ahmedabad | hood=Isanpur | BHK:[4] | type:['VILLA'] | pool=None | club=True | park=True | status=UNKNOWN | amenities=14 | rooms_types=['BALCONY', 'BEDROOM', 'DINING', 'DRAWING_ROOM', 'FOYER', 'KITCHEN', 'POOJA_ROOM', 'STORE_ROOM', 'TERRACE', 'TOILET']
ORBIT OF HAPPINESS | city=Ahmedabad | hood=Vinzol | BHK:[2] | type:['APARTMENT'] | pool=None | club=True | park=True | status=UNKNOWN | amenities=9 | rooms_types=['BALCONY', 'BEDROOM', 'DINING', 'DRAWING_ROOM', 'KITCHEN', 'TOILET', 'WASH_AREA']
PALAK ELINA | city=Ahmedabad | hood=Iscon-Ambli Road | BHK:[5] | type:['APARTMENT'] | pool=True | club=True | park=True | status=UNKNOWN | amenities=7 | rooms_types=['BALCONY', 'BEDROOM', 'DINING', 'DRAWING_ROOM', 'KITCHEN', 'LOBBY', 'POOJA_ROOM', 'SERVANT_ROOM', 'STORE_ROOM', 'TOILET', 'WASH_AREA']
POONAM PRIDE | city=AHMEDABAD | hood=SHELA | BHK:[4] | type:['VILLA'] | pool=True | club=True | park=True | status=UNKNOWN | amenities=25 | rooms_types=['BALCONY', 'BEDROOM', 'DINING', 'DRAWING_ROOM', 'DRESSING_ROOM', 'KITCHEN', 'LOBBY', 'OTHER', 'POOJA_ROOM', 'SERVANT_ROOM', 'STORE_ROOM', 'TERRACE', 'TOILET', 'WASH_AREA']
Pushpa Residency | city=Vadodara | hood=Vasna-Bhayli Road, Bhyali | BHK:[4] | type:['VILLA'] | pool=None | club=True | park=True | status=UNKNOWN | amenities=8 | rooms_types=['BALCONY', 'BEDROOM', 'DRAWING_ROOM', 'KITCHEN', 'LOBBY', 'OTHER', 'STORE_ROOM', 'STUDY_ROOM', 'TERRACE', 'TOILET']
RATNAAKAR 6 beaumonde | city=Ahmedabad | hood=Jodhpur, Satellite | BHK:[4, 5] | type:['APARTMENT'] | pool=None | club=None | park=True | status=UNKNOWN | amenities=0 | rooms_types=['BALCONY', 'BEDROOM', 'DINING', 'DRAWING_ROOM', 'DRESSING_ROOM', 'KITCHEN', 'LOBBY', 'POOJA_ROOM', 'SERVANT_ROOM', 'STORE_ROOM', 'STUDY_ROOM', 'TOILET', 'WASH_AREA']
RASHMI AANGAN | city=Ahmedabad | hood=None | BHK:[2] | type:['APARTMENT'] | pool=None | club=True | park=True | status=UNKNOWN | amenities=9 | rooms_types=['BALCONY', 'BEDROOM', 'DINING', 'DRAWING_ROOM', 'KITCHEN', 'PASSAGE', 'STORE_ROOM', 'TOILET', 'WASH_AREA']
SATYAMEV ELYSIUM | city=Ahmedabad | hood=Science City Road | BHK:[4, 5] | type:['APARTMENT', 'PENTHOUSE'] | pool=None | club=None | park=True | status=UNKNOWN | amenities=48 | rooms_types=['BALCONY', 'BEDROOM', 'DINING', 'DRAWING_ROOM', 'DRESSING_ROOM', 'KITCHEN', 'OTHER', 'SERVANT_ROOM', 'TERRACE', 'TOILET']
SURYA KUTIR | city=AHMEDABAD | hood=NARANPURA | BHK:[3] | type:['APARTMENT'] | pool=None | club=None | park=True | status=UNKNOWN | amenities=5 | rooms_types=['BALCONY', 'BEDROOM', 'DINING', 'DRAWING_ROOM', 'KITCHEN', 'LOBBY', 'STORE_ROOM', 'TOILET', 'WASH_AREA']
Satyesh Residency | city=Ahmedabad | hood=Shantipura Cross Roads, Bopal, Iscon-Ambli Road, Sardar Patel Ring Road | BHK:[1] | type:['APARTMENT'] | pool=None | club=True | park=True | status=READY_TO_MOVE | amenities=14 | rooms_types=['BATHROOM', 'BEDROOM', 'DRAWING_ROOM', 'KITCHEN', 'TOILET', 'WASH_AREA']
Shikhar Avenue | city=Surat | hood=Jahangirpura | BHK:[2, 3] | type:['APARTMENT'] | pool=None | club=None | park=True | status=NEW_LAUNCH | amenities=8 | rooms_types=['BALCONY', 'BEDROOM', 'DRAWING_ROOM', 'FOYER', 'KITCHEN', 'PASSAGE', 'STORE_ROOM', 'TOILET', 'WASH_AREA']
Shivalik Lake View | city=Ahmedabad | hood=Manipur | BHK:[4] | type:['VILLA'] | pool=None | club=True | park=True | status=NEW_LAUNCH | amenities=15 | rooms_types=['BALCONY', 'BEDROOM', 'COURTYARD', 'DINING', 'DRAWING_ROOM', 'DRESSING_ROOM', 'KITCHEN', 'LOBBY', 'OTHER', 'STORE_ROOM', 'TOILET', 'WASH_AREA']
Pushpak City | city=Ahmedabad | hood=Hathijan | BHK:[1, 3] | type:['TENEMENT', 'VILLA'] | pool=None | club=None | park=True | status=UNKNOWN | amenities=8 | rooms_types=['BALCONY', 'BATHROOM', 'BEDROOM', 'KITCHEN', 'OTHER', 'TERRACE', 'TOILET', 'WC']
Sitaram City | city=Ahmedabad | hood=Vastral Road | BHK:[1, 2] | type:['APARTMENT'] | pool=None | club=True | park=True | status=UNKNOWN | amenities=8 | rooms_types=['BALCONY', 'BATHROOM', 'BEDROOM', 'DRAWING_ROOM', 'KITCHEN', 'STORE_ROOM', 'TOILET', 'WASH_AREA', 'WC']
Sky Avenue | city=Ahmedabad | hood=None | BHK:[2] | type:['APARTMENT'] | pool=None | club=None | park=True | status=UNKNOWN | amenities=13 | rooms_types=['BEDROOM', 'DRAWING_ROOM', 'KITCHEN', 'TOILET', 'WASH_AREA']
Sudama Homes | city=Ahmedabad | hood=Chiloda-Kotarpur | BHK:[3] | type:['VILLA'] | pool=None | club=None | park=True | status=NEW_LAUNCH | amenities=9 | rooms_types=['BALCONY', 'BEDROOM', 'DINING', 'DRAWING_ROOM', 'DRESSING_ROOM', 'KITCHEN', 'OTHER', 'STORE_ROOM', 'TERRACE', 'TOILET', 'WC']
Sunflower Enclave | city=Ahmedabad | hood=Sarkhej | BHK:[2] | type:['APARTMENT'] | pool=None | club=None | park=True | status=READY_TO_MOVE | amenities=7 | rooms_types=['BALCONY', 'BATHROOM', 'BEDROOM', 'DRAWING_ROOM', 'KITCHEN', 'LOBBY', 'WASH_AREA']
Swastik Harmony | city=Ahmedabad | hood=New Nikol - Naroda Road | BHK:[3, 4] | type:['APARTMENT'] | pool=True | club=True | park=True | status=UNKNOWN | amenities=7 | rooms_types=['BALCONY', 'BEDROOM', 'DINING', 'DRAWING_ROOM', 'DRESSING_ROOM', 'KITCHEN', 'LOBBY', 'POOJA_ROOM', 'STORE_ROOM', 'TOILET', 'UTILITY_ROOM']
TREZURE ENCLAVE-I | city=Ahmedabad | hood=Thaltej - Shilaj Road | BHK:[3, 4] | type:['APARTMENT'] | pool=True | club=True | park=True | status=UNKNOWN | amenities=16 | rooms_types=['BALCONY', 'BEDROOM', 'DINING', 'DRAWING_ROOM', 'DRESSING_ROOM', 'FOYER', 'KITCHEN', 'STORE_ROOM', 'TOILET', 'UTILITY_ROOM']
The Legend | city=Surat | hood=Vesu, Udhana Magdalla Road | BHK:[4] | type:['APARTMENT'] | pool=None | club=None | park=True | status=NEW_LAUNCH | amenities=10 | rooms_types=['BALCONY', 'BATHROOM', 'BEDROOM', 'DINING', 'DRAWING_ROOM', 'KITCHEN', 'LOBBY', 'PASSAGE', 'POOJA_ROOM', 'STORE_ROOM', 'TOILET', 'WASH_AREA']
UMA VIHAR ELYSIUM | city=Ahmedabad | hood=Sola | BHK:[3] | type:['APARTMENT'] | pool=None | club=None | park=True | status=UNKNOWN | amenities=29 | rooms_types=['BALCONY', 'BEDROOM', 'DRAWING_ROOM', 'FOYER', 'KITCHEN', 'POOJA_ROOM', 'STORE_ROOM', 'TOILET', 'WASH_AREA']
Vardhman Greens | city=Rajkot | hood=Vardhman Nagar | BHK:[1] | type:['APARTMENT'] | pool=None | club=True | park=True | status=UNDER_CONSTRUCTION | amenities=13 | rooms_types=['BEDROOM', 'DRAWING_ROOM', 'KITCHEN', 'TOILET', 'WASH_AREA']
Elysium at Shantigram | city=Ahmedabad | hood=Shantigram | BHK:[2] | type:['APARTMENT'] | pool=True | club=True | park=True | status=UNDER_CONSTRUCTION | amenities=20 | rooms_types=['BALCONY', 'BEDROOM', 'DRAWING_ROOM', 'KITCHEN', 'STORE_ROOM', 'STUDY_ROOM', 'TOILET', 'UTILITY_ROOM']
svasaar pravesh | city=Ahmedabad | hood=Vatva | BHK:[1, 2] | type:['APARTMENT'] | pool=None | club=None | park=True | status=UNKNOWN | amenities=2 | rooms_types=['BALCONY', 'BEDROOM', 'DINING', 'DRAWING_ROOM', 'KITCHEN', 'TOILET', 'WASH_AREA', 'WC']
